DOCNUMBER,NOME,DATA,CPF,SALARIO
58,Nathan Hernandez,03/14/2016,32218807904,4354400.87
59,Valerie Cardenas,12/27/2021,96622326487,189734.6
60,Mark Nelson,02/02/1993,37416699460,716351.51
61,Janie Rousselle,10/20/2002,86164508401,2878604.04
62,Tim Mcdonald,06/16/2016,17202873508,4143441.3
63,Tina Stanford,12/12/2010,15524467603,3598313.01
64,William Boudreaux,02/22/2017,43064607979,1941843.0
65,Donald Bailey,09/04/2013,64089359074,3002574.27
66,Valerie Senior,09/13/2014,96964846409,515262.63
67,Andrew Wilks,04/29/1991,89540978807,4345042.15
68,Linda Wood,05/14/1995,29413866708,1921507.61
69,Maria Rodriquez,06/23/2016,21521219702,1300222.06
70,Claire Baker,05/22/2008,60850170303,3773599.12
71,John Faustini,04/17/1999,10083446214,3421611.6
72,Theodore Cochran,09/26/2017,99885040048,753152.08
73,Nancy Stanier,07/06/2015,36504274860,3529783.39
74,Ila Chacko,04/29/2009,32152813090,3411506.86
75,Sallie Hides,10/15/1995,38116084445,3119946.97
76,Lisa Lee,08/09/1992,81700370189,666981.64
77,Lydia Evans,11/01/2009,23939550469,4563339.01
78,Garry Gordon,04/25/2014,16173636506,541140.72
79,Duane Richardson,08/12/1998,84172160654,4973705.37
80,Antonio Ortiz,04/21/1993,05634200067,2754911.22
81,Marci Amos,08/30/2010,68292877665,3249066.21
82,Marie Evans,07/04/2020,47910966490,1492313.51
83,Robert Dean,12/29/1998,06758877477,4354831.55
84,Jeri Wright,02/08/1995,93245847157,4855902.01
85,Raquel Engle,11/19/1990,00930391403,3184103.59
86,Helen Lair,03/13/2019,83353373063,3308301.9
87,Roger Gilbert,06/04/2021,19123947314,1201807.88
88,Charlie Garcia,11/28/1997,17473875256,4934688.69
89,David Soliz,01/22/1993,96996853281,1042295.41
90,Elsie Hardy,10/20/1993,94922971670,551961.82
91,Shawn Bagley,09/28/2016,64593158508,1191301.66
92,James Brown,01/03/2008,47974595906,3222887.14
93,Andy Cesena,06/22/2014,03010021003,1232583.13
94,Opal Woodrow,10/08/2005,43534447948,117821.74
95,Kathleen Vegter,02/20/2001,75180980321,935320.81
96,Raymond Parker,05/12/2004,95937216652,4773863.12
97,Victoria Silvernail,02/04/1991,74995099905,3618470.4
98,Sherry Hungerford,03/27/2019,99849943688,4575731.54
99,Leroy Leon,03/19/2012,45067486899,1502046.59
100,Blanca Alcala,07/06/1997,46432383994,3118370.18
101,Shirley Alvey,08/28/2000,96741577432,1727777.88
102,Reuben Harris,10/28/2008,20921292600,2111294.94
103,Trevor Simpkins,11/20/1990,96929324000,4579783.84
104,Rodrigo Hubbard,10/06/2001,15871909582,1868792.04
105,Walton Harris,01/29/2005,70324974973,4588913.35
106,Linda Walker,05/21/2018,39489980358,1954271.09
107,Ruth Figueroa,07/01/2003,10610695401,1657928.02
108,Katrina Abbott,11/18/2011,57313021461,1046347.01
109,Benjamin Stalder,11/29/2000,01701279827,2016013.19
110,Linda Bryan,11/12/1997,47839224970,1182353.66
111,Robert Sigmon,01/27/2012,65671997763,68973.35
112,Meredith Swearingen,05/17/2012,83029941701,577856.19
113,William Hannan,03/19/1995,72890024822,2373323.67
114,Sylvia Johnson,03/20/2003,77241768841,4554693.74
115,Mathilda Volo,05/11/2011,48927059344,4071870.96
116,James Gotch,08/01/2002,10964709180,4425549.79
117,Alice Mcgranahan,09/23/1997,10768754160,2808065.51
118,Kevin Porter,12/27/2004,98989328993,87949.55
119,Barbara Perez,10/05/1992,98992988168,1830119.07
120,Tara Gardner,09/23/1993,43687614808,2233384.33
121,Holly Stone,03/23/2009,87270337160,4959505.52
122,Roberto Shrum,04/24/2002,39554214499,916050.51
123,George Plateroti,11/30/2020,60475060466,236031.46
124,William Gordon,09/24/2008,14767564573,316195.15
125,Bernard Dunaway,01/10/2004,68536453249,507177.43
126,Lucie Bartolome,09/21/2013,71050637771,2220500.11
127,Gloria Duhart,12/10/2001,67196637631,2494772.48
128,Sherry Butler,01/06/1995,67749148701,247600.52
129,Natalie Clark,09/20/2006,57345987043,569377.64
130,Ronald Doak,11/27/2005,94349118187,2595430.03
131,Arnold Halasz,04/09/2003,48783432221,117765.91
132,Fannie Farmer,07/05/2020,72209792401,4137530.91
133,Donald Page,10/09/2002,60774301295,823863.49
134,Kenneth Gilbert,11/04/2009,40193106531,4108497.21
135,Mason Williams,04/30/2016,66724149169,440767.39
136,Christopher Laroche,07/27/2005,28982159029,4599752.82
137,Annie Shivers,09/14/2000,29011913809,2501452.06
138,James Wascher,12/10/2006,28393367158,796937.12
139,Kitty Brown,10/15/2007,98073797763,3332867.48
140,Kevin Bui,11/14/2009,14688906897,2604945.56
141,Julie Venecia,11/26/2008,84623839605,605421.82
142,Brian Enochs,07/28/2012,57255619339,687567.52
143,Heather Murillo,09/19/2005,51075731267,2827691.38
144,Christopher Ruby,01/18/2015,53134778890,3068333.0
145,Lawanda Riekena,08/17/2012,47539010924,1920416.41
146,Mary Quintero,06/19/2008,00114223947,2761085.62
147,Riley Salmon,10/23/2008,73650019094,2234509.8
148,Lena Mcminn,08/07/1994,51693922657,453296.59
149,Samuel Brown,05/17/2018,00718690001,2853869.91
150,Richard Calvo,02/23/2016,72648304380,1348106.59
151,Julia Isaacs,07/31/2008,90571512780,2091421.56
152,George Conwell,09/09/2011,42116976332,202249.66
153,Joy Crowell,04/17/1993,04790150402,1133417.53
154,Jeffrey Belton,06/26/2007,46727425558,1641782.08
155,Tony Cabrera,11/14/2017,94303734802,4874489.75
156,Vicki Clark,01/17/2013,98717261473,567104.21
157,Bonnie Barefield,10/26/2017,31177967030,2789913.48
158,Robin Walton,02/06/2020,34242154143,3705974.74
159,Christian Sumter,04/23/2017,50988024233,181821.38
160,Todd Dancer,11/03/2003,01974954781,4737029.83
161,Dale Cronk,11/12/1996,11434604306,946923.63
162,Carol Fritz,04/18/2014,61933834170,3632901.58
163,Elvira Reeves,02/05/1992,70928932591,2366354.09
164,Jeffrey Koller,03/22/2008,20088926460,4113304.02
165,Aaron Arnold,05/04/2009,87849992768,3425654.63
166,Martha Sawyer,10/22/2017,43272032975,2579723.3
167,James Bettis,11/01/1996,84619924741,418140.52
168,Lonnie Meadows,02/23/1999,35464162011,362069.89
169,Michael Tingley,04/23/2017,71691760684,1603695.27
170,Agustin Smith,04/07/2006,17663179790,4727674.92
171,Robert Crosno,02/25/2004,16585933834,4653648.89
172,Douglas Zafar,04/23/2006,27416196973,2165315.94
173,Kathryn Saeler,09/28/1999,39570054344,3277013.45
174,Demarcus Jalbert,01/08/2013,84667280743,3055445.65
175,Roy Wells,03/19/1997,19738620422,3374053.79
176,Carol Demoss,10/20/2008,74849809197,4734086.67
177,Leslie Klinger,01/27/2005,68728612582,2951868.29
178,Joseph Pharr,12/30/2021,19096549570,2116416.4
179,Lisa Anselmo,08/22/1997,13852890403,2813944.8
180,Tony Phillips,09/08/1990,06038108378,2808701.57
181,Rosa Hansen,07/06/2020,74437611985,2833569.69
182,Kathy Wall,03/08/1993,46507089150,4823809.41
183,Margaret Grosz,06/01/2019,67811206625,4881746.74
184,Dorothy Dowell,10/04/1994,96255905101,940527.61
185,Marie Olson,04/17/2004,75026779689,212743.55
186,Anita Guzman,12/31/2000,17844802235,1878037.4
187,Brittney Cepeda,10/28/2011,65369570400,202593.31
188,Jude Crawford,01/20/2021,56224780650,518988.53
189,James Waterbury,06/20/2018,48442540490,2327445.61
190,Eric Holland,10/28/2003,27468484147,504859.17
191,Diane Hulsey,11/13/2016,33959198116,2983526.48
192,Pauline Thomsen,05/30/2006,17303293655,1133491.68
193,Julie Garcia,02/10/1992,32978108665,3585791.69
194,Connie Roos,08/30/2011,85092352442,2937834.49
195,Mark Meador,07/17/2002,24229409516,1235714.44
196,Gladys Tipton,05/13/2007,99003718105,3216986.23
197,Shirley Menendez,04/16/1990,25484874823,3078984.54
198,Teresa Jackson,03/03/2007,73184392864,4710113.3
199,Wanda Lopez,02/17/1994,96979011049,3081428.07
200,Matthew Newkirk,11/03/2018,80167284991,1257666.09
201,Michael Smolder,07/05/2006,06880851053,4998961.93
202,Bernard Prado,12/09/2016,40213730120,1689848.4
203,Carol Persad,10/19/2017,43958432980,4385723.57
204,Richard Wolfe,05/04/1990,22438480238,2457555.73
205,Esther Lara,01/17/2017,36067701545,2789155.85
206,Lamar Scott,09/13/2013,42332037900,3686952.49
207,Joyce Cosselman,01/05/2005,82541744153,3357668.06
208,Elizabeth Depp,07/27/1993,86246095933,599448.41
209,Brice Horton,03/21/1997,18507188141,3002683.77
210,Leo Cothren,06/11/2015,53054004570,4911783.09
211,John Hagan,03/10/2011,77045177917,344641.32
212,Dorothy King,03/01/1991,31135350000,1381025.35
213,Michael Miller,07/01/2021,27617081219,4624537.74
214,Wesley Pliml,05/08/2017,44201842991,3721574.91
215,Nina Trahan,03/20/2011,95350638394,3535101.94
216,Renata Cunha,01/13/2013,21290814520,1868941.26
217,Dorothy White,08/05/1995,14058643382,1618050.57
218,Arlene Johnson,11/20/2019,70326531386,3799142.01
219,Bobbie Shih,05/16/1992,40001754912,4510848.54
220,Eric Knox,05/28/1993,46244654900,4595764.93
221,Patrick Mata,06/14/1990,77611828924,1842288.63
222,Cecilia Tucker,06/21/2016,69971570173,2409881.86
223,Valerie Morningstar,07/08/2012,20350677662,1275190.39
224,Virginia Schaffert,08/05/1999,77860402696,2753104.69
225,Tari Smith,06/13/1998,75447710243,2644804.54
226,Brian Brown,07/17/2002,49160009438,4038382.81
227,Maida Neri,04/24/2021,93745640411,200632.57
228,Paul Cloud,06/26/2018,90084992158,2346309.34
229,Robert Peters,04/13/2006,99842811832,118242.64
230,Diane Blaze,08/16/1994,81942777019,1515098.81
231,Gertie Land,01/25/2011,95408752003,1235007.03
232,Latoya Eldred,07/07/1999,15361113921,2091992.94
233,Allen Argueta,03/13/1991,37138225229,182639.39
234,Brenda Gilbert,05/21/2017,99527761956,2265186.63
235,Brooke Brumbaugh,03/07/2012,59208978567,257923.98
236,Elaine Noll,11/09/2002,78891206644,3606164.83
237,Rocky Reynolds,02/12/2010,69500162040,1609787.1
238,Susan Larson,04/17/2018,07827003060,870866.54
239,Ebony Kivett,06/10/2002,33063498440,2836143.13
240,Maureen Pierce,02/07/1999,28358875800,2997611.24
241,James Gillard,10/29/1998,77927335995,18994.11
242,Jerome Hitchcock,10/09/2014,31313774707,729122.66
243,Brandon Egan,07/28/1998,65193926932,1279727.85
244,Lydia Hay,04/07/2015,03848440903,2525462.94
245,Leo Valdes,05/14/1994,36913212917,2335833.36
246,Esther Scott,04/19/2015,17856818930,820749.5
247,Jessie Roudebush,09/23/1994,35885231206,2461062.71
248,Robert Mcdonald,05/28/2013,29639315060,3747257.31
249,Gerard Post,05/09/2005,03297833785,4964749.59
250,Pamela Hughes,11/21/2020,47018958229,3205372.91
251,Corie Gilmore,01/06/2006,17829372691,2345817.1
252,Dora Rosa,03/01/2011,19485835850,1651407.5
253,John Hood,06/23/2010,13798782768,751757.05
254,Francis Hawkins,10/10/1996,81881322416,3966537.27
255,Linda Alcott,09/19/2003,99867361377,471535.43
256,Eunice Nelson,08/17/2002,01972418831,3342294.3
257,Nannette Chauvin,05/22/2006,95196998055,2459540.49
258,William Johnson,06/16/2006,07320345668,699037.81
259,Kimberly Tamashiro,01/05/2009,75865860399,1202974.92
260,Beau Hunter,02/06/2021,33027846191,456278.64
261,Brian Rockwood,03/15/2002,78116287915,320416.81
262,Mina Wagoner,10/05/2020,96518102381,610820.93
263,Rudy Thielman,03/14/1998,77703462586,2571399.67
264,Laura Zieman,04/27/2011,39103499863,4139258.05
265,Gordon Peterson,02/27/2013,04465947844,1185769.89
266,Kathleen Tallent,09/15/2005,33652231503,1537180.27
267,Roy Mceachran,10/09/2003,70654043582,4748781.36
268,Christopher Starkey,05/30/2020,71875091629,1403126.57
269,Joseph Geib,08/26/2015,40405348754,4274808.28
270,James Perry,07/26/2019,55285727200,2547405.54
271,Austin Holt,06/23/2021,11396556982,1269875.46
272,Elaine Ickes,02/09/2017,72975905920,139350.66
273,Nancy Spence,07/15/1990,84871730395,4353442.49
274,Ila Votta,10/18/1997,40043615082,2686634.83
275,Norma Aversano,05/05/2007,76219445520,665512.47
276,Randy Kelley,07/13/2016,62394651512,198958.68
277,Virginia Barnes,04/14/2007,97713149554,1227586.35
278,Sandra Ishak,06/18/1994,47745109043,1466697.04
279,Sharon Jeffreys,12/31/2017,22346762318,53848.44
280,Gregory Schultz,09/24/2003,63890788033,1957876.98
281,Carolyn Phipps,09/30/2011,38824954642,3551705.39
282,Kimberly Elliott,06/13/2012,51858146593,1251751.74
283,Alan Hart,10/28/1994,20498175685,2454471.5
284,Eric Cook,05/02/2018,37088879131,2572583.16
285,Jessica Johnson,01/29/2007,22516093500,2486320.58
286,Elisabeth Lax,07/24/2000,34541430045,1521787.07
287,Tayna Jones,02/06/2011,67973493468,4864644.61
288,Brandon Newsom,02/02/1997,95994918741,1082667.67
289,Jason Kimmons,02/11/2020,19245154823,4764484.7
290,Kirsten Tipton,04/07/2008,69517881622,4462912.37
291,Ronald Cribbs,11/05/2013,11987423488,2436238.08
292,Dorla Chaligoj,04/11/2013,96492251024,2660837.15
293,Larry Crye,06/06/1999,76203692522,4939351.68
294,Brenda Goodwin,03/11/2014,17084600558,4679462.79
295,Keith Currie,10/27/2005,59536259796,1726238.14
296,Mary Lehtonen,05/04/1996,42368285539,3601646.97
297,Ruby Hooks,02/09/2003,69860435383,1544930.67
298,Jenna Wilkerson,03/04/2011,09911415716,3087689.09
299,Roy Noffsinger,04/24/2018,26575256520,2116759.46
300,William Hill,05/04/1992,90234222794,1443065.92
301,Sheila Lopez,08/28/2018,78181787161,1513096.17
302,Roscoe Rossi,10/10/1992,85733330066,1824233.39
303,Franklin Martinez,07/14/2015,16671399085,4070310.78
304,Gerald Tidwell,01/10/2021,36672237577,161371.43
305,William Warner,01/19/1994,26440053370,148998.99
306,Larry Hinkle,03/15/1993,37240421910,1972528.67
307,Jay Neu,09/02/2007,26599348785,4562069.58
308,Kathleen Jackson,03/06/2018,92303794927,1562981.9
309,John Clewis,01/13/2013,77633971363,2734860.64
310,Jason Eis,09/24/1993,57217149568,1490895.32
311,Mark Rodriguez,12/19/2013,21502591847,3222057.77
312,Theresa Mcatee,04/27/2013,55964721079,2264840.22
313,Jack Banks,02/14/2021,44430667055,3299681.55
314,Mauricio Willett,08/02/2021,39337918129,3891805.22
315,David Braxton,06/26/1992,33611476625,1732530.48
316,Rosina Clark,06/27/2013,38768722516,3892640.43
317,Olivia Dorich,09/14/2005,50781811058,2741925.6
318,Marcia Porcelli,03/17/2008,57260947004,3941410.62
319,Misty Torres,08/22/2015,61952394880,9792.36
320,Hector Coe,07/12/2017,79532699104,3869719.25
321,Thomas Clark,01/23/1993,30110172205,4247685.12
322,Tyler Volk,04/29/2009,67321502511,1179511.01
323,Danyelle Meilleur,10/28/2003,30843470771,1662699.45
324,Antoine Koenen,10/31/1996,13807528504,1620076.0
325,Lillian Yorke,04/19/2016,15976176445,1797407.8
326,Noah Dunne,08/24/2017,97466994660,1868623.31
327,Mario Fish,09/10/2002,78505341155,4384344.68
328,Walter Hilliard,10/09/2000,20326865462,888556.64
329,Edward Tomas,01/03/1995,75963001382,2346697.81
330,Ryan Wietzel,01/21/2005,34758731500,4572640.93
331,Emily Grijalva,10/23/2016,18661268656,4514858.99
332,Kermit Keithley,09/28/1996,36656787908,596793.77
333,Margaret Chang,05/28/2008,46344733217,3175786.4
334,Sarah Bell,12/24/1998,65299614101,2457050.17
335,Vonda Reed,01/29/2006,17473848879,727663.34
336,Jimmy Sutton,03/25/2014,02097290078,1433927.41
337,Jacob Middleton,12/27/1995,44325394370,925393.2
338,Betty Pittman,11/10/2007,38101211772,4096794.39
339,Javier Quattlebaum,05/07/2011,05613001430,193661.3
340,Timothy Kerns,10/15/2010,04751806238,3195788.24
341,Diane Rehl,04/26/2008,65554010601,983266.92
342,Carlos Holmes,03/27/2018,91232649007,914698.55
343,Hanna Malone,11/06/2005,11052102514,3082818.86
344,Duane Markrof,07/26/2008,89313964570,1989773.68
345,Laura Pressnell,02/17/2014,07735827032,2435939.7
346,Stacy Blansett,09/03/2001,27034971137,2122653.18
347,Bernice Bell,04/29/2019,44055907966,3807454.58
348,Melinda Jayne,11/30/2000,94868592300,2854028.82
349,Karen Linquist,10/22/1991,09417265920,1181285.5
350,Rhonda Lima,06/16/2018,45404513403,2109842.39
351,Gabriel Isaacson,09/04/2004,76766509848,347243.84
352,James Lovett,03/11/1994,67733707870,2659456.54
353,Joshua Quintero,08/19/2018,65633954653,3276514.49
354,Willie Slatton,09/03/2003,59290608196,911286.29
355,Martin Sheeley,09/26/2012,16270401020,4648866.39
356,Ruth Barton,07/29/1991,69202490066,2173276.09
357,Jacqueline Lewis,06/17/2018,98248471462,1668589.39
358,June Brennan,10/10/2014,30887758800,1389167.05
359,Kathryn Gorham,06/05/2008,26635956166,2122653.98
360,Beverly Rolland,12/17/1992,84947296755,1817202.13
361,Thurman Ide,12/13/2005,65972027321,3461788.78
362,Karin Lawrence,03/29/1992,29752504280,4273089.8
363,Lauren Currie,08/06/1991,51838618546,2479818.47
364,Cathrine Garcia,06/20/1992,14693829544,1244733.16
365,Rufus Norwood,10/24/2007,83934772986,1627032.72
366,Alexander Grier,09/03/2020,38457907174,1502919.02
367,Clayton Stinnett,01/10/1991,64795829420,3362230.08
368,John Reynolds,07/13/1997,33804207197,4278315.06
369,Ruby Miller,05/18/1990,14645810294,2650955.25
370,Betty Hinson,12/01/2008,34942340438,2207441.42
371,Lynda Randolph,05/22/1995,73180068868,4755480.95
372,Pablo Kelly,11/03/2016,42023703336,3723924.56
373,Darren Mclendon,03/07/2000,72938322143,2272334.6
374,Lilly Barile,06/07/2020,23634536462,2683102.71
375,Belinda Banks,12/31/2009,84402394910,4769300.7
376,Kevin Brown,12/13/2017,91001169123,4032551.96
377,Melvin Groff,03/01/1996,71180021789,3978466.94
378,Lois Nguyen,05/04/2019,89844185360,1226048.39
379,Patricia Rufenacht,12/14/2003,20166282600,23212.25
380,Diane Martin,08/23/2003,18638575165,2162435.53
381,Carol Bagen,03/17/2009,47732487699,3763206.26
382,Tom Seel,09/01/2010,45256029371,308204.97
383,Alice Burlock,06/16/2020,86415653709,1846233.84
384,Jennifer Lesser,10/09/1993,12087473129,1694842.22
385,Neva Fisher,10/16/2020,46193070842,2485440.64
386,Irvin Kallin,04/24/2007,36347093162,4861265.04
387,Hector Johnson,10/02/2011,25325347705,1774562.35
388,Robert Richie,12/11/2004,70693570873,2751955.36
389,Raymond Yengo,03/31/2019,65933988618,192057.73
390,Charles Thomas,05/19/2011,53395244180,3104222.25
391,Carl Klinger,05/02/2009,30644677198,1062784.1
392,Nicholas Ward,06/15/1991,37520193446,3896484.49
393,Louis Jackson,09/29/1997,47821017248,1226277.16
394,John Miles,01/19/1993,44967527604,2040004.81
395,Ernest Merkl,03/12/2016,58288845657,3787426.88
396,Joyce Dansie,01/27/2005,90670178330,2744889.39
397,Melinda Hedrick,07/08/2020,76892567240,6523.8
398,Jarred Garczynski,04/10/1997,28715753395,1947917.9
399,Charles Wright,04/04/1994,46110668435,1740214.15
400,Lorenza Larsen,09/23/2006,33359835808,676134.02
401,Nancy Harris,03/06/2004,59367255101,486712.54
402,Robert Smith,12/15/1998,89249628501,3432778.9
403,Leola Williams,05/04/2021,88664241376,3812718.25
404,Lee Underhill,09/11/2003,16989754141,4926035.77
405,Martha Turk,02/09/2008,15496715377,4766513.01
406,Heather Bartsch,04/24/2011,43579115596,2376925.6
407,John Graf,04/11/2012,22812114444,3385343.39
408,Jenny Delgado,05/19/2009,70903599562,808530.23
409,William Cruz,06/28/2018,73069826482,3277215.27
410,Willie James,01/06/1992,35582095403,1583814.73
411,Lucy Marcum,11/13/2010,34105144812,876686.37
412,Randolph Edmonds,09/05/2014,64827847045,2192203.41
413,Brendan Turner,12/07/2020,73755027909,3060890.34
414,Sammy Tyson,12/16/2000,60269445161,1284664.25
415,Joseph Telesco,02/23/2012,53284335994,501853.1
416,Gene Matinez,04/18/2021,01768379815,1326797.97
417,Erika Markus,11/29/1996,41066952515,2308263.13
418,Vickie Butler,12/28/2016,08319597382,2528253.48
419,Bradley Neri,07/26/2008,99821651003,4032717.17
420,Sadie Mcgriff,12/29/1996,49907570095,363704.29
421,Marie Galloway,04/21/2011,17326491208,1133395.37
422,Kermit Wicks,09/20/1997,97535036520,1896503.22
423,Betty Shores,04/30/2006,51954220790,382317.81
424,Leigh Sohre,11/16/2011,91096372495,4637263.44
425,Bernard Bodine,11/16/2021,66661086203,1708458.91
426,Lawanda Smith,11/04/2002,52621651844,555826.86
427,Ruben Scarlato,07/13/1990,23685135155,3829169.68
428,George Canales,10/23/2001,19764257860,1536063.77
429,Eric Lewis,11/07/1995,85751504216,1863358.9
430,Julia Wagner,12/29/2018,03817669771,3807251.9
431,Cathy Goad,12/24/1996,69911496163,4692770.45
432,Katherine Mendez,02/05/1991,60516346652,2853828.63
433,Jimmie Juba,02/23/2015,99292466224,3621932.73
434,Buford Brooks,01/09/1996,07526370617,2746233.67
435,Ruth Kowalchuk,05/27/2015,26279599485,2568376.32
436,Billy Manus,09/06/2012,20525626301,4136067.39
437,John Cruz,10/27/2009,29250955855,3779683.58
438,Mark Green,10/27/1990,46399368340,183615.76
439,Barbara Lewis,08/08/1999,79114702193,238618.63
440,Theodore Wooten,01/18/2003,24065073430,727743.01
441,Eric Ketterman,10/01/2016,83597573215,3894066.78
442,Richard Smith,10/17/2018,06454649539,3717639.55
443,Lula Loepp,11/27/2016,99069759977,1379230.06
444,David Huss,01/13/1992,83605948995,2375002.39
445,Jack Craven,11/17/2000,64562733152,393974.21
446,Gene Dawson,03/23/2008,50198419007,2036400.96
447,Ashley Lawrence,08/28/1993,16368150734,1220344.74
448,Amanda Rowe,04/14/2017,75858049540,4121920.81
449,Tony Walker,05/15/2010,16516093148,2965935.56
450,Kathleen Mckenzie,01/15/2006,11431966606,2134359.26
451,Carl Hokanson,02/24/2015,53358857263,4187163.47
452,Gregory Lovelady,09/25/1992,53109229382,3703488.09
453,Scott Anderson,10/27/1992,05146566704,1310737.62
454,Thomas Ditullio,02/16/2008,56234882773,2980174.84
455,Dolores Smith,09/04/1999,81749256002,1464961.81
456,Hilde Watkins,04/27/2001,59820992796,4099604.35
457,Ruby Davis,11/05/1997,88071348961,1922359.71
458,Lauren Johnson,09/24/2006,78770814805,1980898.31
459,Edwin Stancil,12/23/1992,96334197606,655382.35
460,Keith Vario,06/19/1994,08039821002,3740721.14
461,Lorraine Eveland,08/15/1996,55775921780,2867849.56
462,Glenn Gamez,07/02/1995,96345295507,3635078.97
463,April Davis,05/05/1997,79536897660,3684341.25
464,Ronald Mack,03/22/1995,06706569500,3654543.39
465,Jose Murray,02/14/2004,81688298401,3347999.88
466,Russell Rose,09/07/2003,28142978210,3953414.58
467,John Hosey,05/03/1992,45532574839,1278212.57
468,Kimberly Keeton,01/30/2001,16794666154,4490578.74
469,Cindy Hurt,07/12/2002,96250270418,3726816.77
470,Lewis Slaughter,09/01/2002,24219325212,1940941.33
471,Gertrude Harris,11/22/2009,25396243244,3982607.01
472,Chester Brakefield,05/30/2011,77579421950,4624747.95
473,John Garrett,02/03/1990,34093077371,1859353.63
474,Brett Vargas,12/04/2007,03827807875,4355160.05
475,Alma Kramer,03/23/2012,43178374981,651511.49
476,Gretchen Wolcott,10/30/2015,21399743015,4707578.28
477,Patricia Lewis,01/19/1999,57989013274,4962377.53
478,Philip Venecia,08/06/2003,85677802255,2882029.34
479,Karen Dileo,04/14/1997,70436110245,4879012.41
480,Roy Kelly,01/11/1998,67270162166,4201420.4
481,Margie Hellwig,06/22/2001,01648036457,4821426.65
482,Lorraine Freuden,03/11/2002,04423672600,893341.55
483,Veronica Serano,05/28/2014,68926127923,2233455.2
484,Vince Hart,05/31/2018,34568218756,4851175.88
485,Dawn Wetenkamp,09/19/2014,04282164980,46401.31
486,John Lanz,08/08/1990,85894641721,4974894.66
487,Stacy Mona,09/10/2007,70524039518,4427574.33
488,Betty Vereen,05/15/2007,38667428272,2494604.64
489,Antony Reynolds,05/30/2019,83163702201,3119354.34
490,Javier Wyckoff,04/21/2012,53507874709,1587645.79
491,Patricia Harmon,03/19/2020,81947768565,3956756.08
492,Santiago Gilliam,11/22/2004,43132617024,278450.34
493,Patricia Brooks,06/19/1990,08068641254,259852.57
